show_id,type_x,title,director,country,date_added,release_year,rating,duration,listed_in,index,id,type_y,description,age_certification,runtime,imdb_id,imdb_score,imdb_votes
s5842,Movie,Ip Man 3,Wilson Yip,China,6/18/2016,2015,PG-13,105 min,"Action & Adventure, Dramas, International Movies",1290,tm230551,MOVIE,"When a band of brutal gangsters led by a crooked property developer make a play to take over the city, Master Ip is forced to take a stand.",PG-13,105,tt2888046,7.0,54128.0
s5843,Movie,Bo Burnham: Make Happy,"Bo Burnham, Christopher Storer",United States,6/3/2016,2016,TV-MA,60 min,"Music & Musicals, Stand-Up Comedy",1323,tm242736,MOVIE,"Combining his trademark wit and self-deprecating humor with original music, Bo Burnham offers up his unique twist on life in this stand-up special about  life, death, sexuality, hypocrisy, mental illness and Pringles cans.",,60,tt5777636,8.4,14356.0
s5847,Movie,The Do-Over,Steven Brill,United States,5/27/2016,2016,TV-MA,109 min,"Action & Adventure, Comedies",1322,tm239707,MOVIE,The life of a bank manager is turned upside down when a friend from his past manipulates him into faking his own death and taking off on an adventure.,PG-13,108,tt4769836,5.7,45146.0
s5848,Movie,Ali Wong: Baby Cobra,Jay Karas,United States,5/6/2016,2016,TV-MA,60 min,Stand-Up Comedy,1516,tm245235,MOVIE,"Ali Wong might be seven-months pregnant, but thereâ€™s not a fetus in the world that can stop this acerbic and savage train of comedy from delivering a masterful hour of stand-up.",,60,tt5066574,7.5,6925.0
s5849,Movie,Special Correspondents,Ricky Gervais,Canada,4/29/2016,2016,TV-MA,101 min,Comedies,1318,tm238661,MOVIE,A radio journalist and his technician get in over their heads when they hatch a scheme to fake their own kidnapping during a rebel uprising in South America and hide out in New York instead.,PG-13,100,tt4181052,5.8,23669.0
s5850,Movie,Team Foxcatcher,Jon Greenhalgh,United States,4/29/2016,2016,TV-MA,91 min,"Documentaries, Sports Movies",1278,tm239683,MOVIE,"With never-before seen home video, this film recounts the paranoid downward spiral of John E. du Pont and the murder of Olympic wrestler Dave Schultz.",,91,tt5598216,7.3,6496.0
s5852,Movie,Belgica,"Felix Van Groeningen, Felix van Groeningen",Belgium,4/15/2016,2016,TV-MA,127 min,"Dramas, International Movies",1512,tm201906,MOVIE,"The story of two brothers who, even though they have absolutely nothing in common, open a bar together that quickly becomes a regular hangout for nighthawks. Despite the success, they must soon face up to the difficulties inherent in running a family business. Their brotherhood turns into rivalry, through no fault of their own.",,127,tt3544218,6.7,4478.0
s5853,Movie,Hush,Mike Flanagan,United States,4/8/2016,2016,R,82 min,"Horror Movies, Thrillers",1216,tm239676,MOVIE,A deaf woman is stalked by a psychotic killer in her secluded home.,R,82,tt5022702,6.6,123667.0
s5859,Movie,He Never Died,Jason Krawczyk,Canada,3/18/2016,2015,R,97 min,"Comedies, Horror Movies",1244,tm200126,MOVIE,Jack is a solitary man with a mysterious past. His strange habits will soon become stranger when his past catches up with him.,R,99,tt3823012,6.4,19936.0
s5862,Movie,Pee-wee's Big Holiday,John Lee,United States,3/18/2016,2016,TV-PG,90 min,"Children & Family Movies, Comedies, Cult Movies",1302,tm233317,MOVIE,A fateful meeting with a mysterious stranger inspires Pee-wee Herman to take his first-ever holiday.,PG,90,tt0837156,6.1,7985.0
s5865,Movie,"Crouching Tiger, Hidden Dragon: Sword of Destiny",Yuen Wo-Ping,China,2/26/2016,2016,PG-13,101 min,"Action & Adventure, Romantic Movies",1264,tm134516,MOVIE,"A story of lost love, young love, a legendary sword and one last opportunity at redemption.",PG-13,103,tt2652118,6.1,19275.0
s5869,Movie,Hannibal Buress: Comedy Camisado,Lance Bangs,United States,2/5/2016,2016,TV-MA,68 min,Stand-Up Comedy,1616,tm232931,MOVIE,"He's a kamikaze gambler. A one-arm cuddler. And if his fly is down, so be it. A night of sly riffs and slow burns.",R,67,tt5352432,6.6,1517.0
s5874,Movie,Ip Man,Wilson Yip,Hong Kong,1/15/2016,2008,R,107 min,"Action & Adventure, Dramas, International Movies",324,tm30205,MOVIE,"A semi-biographical account of Yip Man, the first martial arts master to teach the Chinese martial art of Wing Chun. The film focuses on events surrounding Ip that took place in the city of Foshan between the 1930s to 1940s during the Second Sino-Japanese War. Directed by Wilson Yip, the film stars Donnie Yen in the lead role, and features fight choreography by Sammo Hung.",R,108,tt1220719,8.0,221095.0
s5875,Movie,Ip Man 2,Wilson Yip,Hong Kong,1/15/2016,2010,R,108 min,"Action & Adventure, International Movies",392,tm103095,MOVIE,"Having defeated the best fighters of the Imperial Japanese army in occupied Shanghai, Ip Man and his family settle in post-war Hong Kong. Struggling to make a living, Master Ip opens a kung fu school to bring his celebrated art of Wing Chun to the troubled youth of Hong Kong. His growing reputation soon brings challenges from powerful enemies, including pre-eminent Hung Gar master, Hung Quan.",R,108,tt1386932,7.5,103673.0
s5876,Movie,Tom Segura: Mostly Stories,Jay Karas,United States,1/8/2016,2016,TV-MA,74 min,Stand-Up Comedy,1492,tm233023,MOVIE,"The bearded, bawdy, and comically bitter Tom Segura gets real about body piercings, the ""Area 51"" of men's bodies, and the lie he told Mike Tyson.",,73,tt4970632,7.5,3508.0
s5877,Movie,Marco Polo: One Hundred Eyes,Alik Sakharov,United States,12/26/2015,2015,TV-MA,29 min,Movies,1336,tm233544,MOVIE,Before he lost his sight. Before he pledged his service to Kublai Khan. Hundred Eyes saw what made him into the deadly assassin who trains Marco Polo.,,28,tt5248968,7.8,10742.0
s5879,Movie,Mike Epps: Don't Take It Personal,L. Frazier,United States,12/18/2015,2015,TV-MA,60 min,Stand-Up Comedy,1624,tm232267,MOVIE,Mike Epps wastes no time bringing his unapologetic and raunchy swagger to a howling live audience at the historic Orpheum Theater in Los Angeles.,,60,tt5339586,4.4,274.0
s5880,Movie,The Ridiculous 6,Frank Coraci,United States,12/11/2015,2015,TV-14,120 min,"Action & Adventure, Comedies",1317,tm214825,MOVIE,"When his long-lost outlaw father returns, Tommy ""White Knife"" Stockburn goes on an adventure-filled journey across the Old West with his five brothers.",PG-13,119,tt2479478,4.8,47935.0
s5882,Movie,A Very Murray Christmas,Sofia Coppola,United States,12/4/2015,2015,TV-14,57 min,"Comedies, Music & Musicals",1368,tm228242,MOVIE,"Bill Murray worries no one will show up to his TV show due to a massive snowstorm in New York City. Through luck and perseverance, guests arrive at Gothamâ€™s Carlyle Hotel to help him â€” dancing and singing in holiday spirit.",,56,tt4537842,5.5,15428.0
s5885,Movie,John Mulaney: The Comeback Kid,Rhys Thomas,United States,11/13/2015,2015,TV-MA,62 min,Stand-Up Comedy,1383,tm229542,MOVIE,"Armed with boyish charm and a sharp wit, the former ""SNL"" writer offers sly takes on marriage, his beef with babies and the time he met Bill Clinton.",PG,62,tt5069564,7.9,8471.0
s5887,Movie,Manson Family Vacation,J. Davis,United States,10/27/2015,2015,TV-MA,85 min,"Comedies, Dramas, Independent Movies",1470,tm195870,MOVIE,"The story of two brothers: one whoâ€™s devoted to his family, the other whoâ€™s obsessed with the Manson Family.",,85,tt4154218,5.8,2965.0
s5890,Movie,Results,Andrew Bujalski,United States,10/22/2015,2015,R,105 min,"Comedies, Independent Movies",1344,tm138792,MOVIE,"Two mismatched personal trainers' lives are upended by the actions of a new, wealthy client.",R,105,tt3824412,5.4,7073.0
s5892,Movie,Beasts of No Nation,Cary Joji Fukunaga,United States,10/16/2015,2015,TV-MA,137 min,"Dramas, Independent Movies",1271,tm136257,MOVIE,"Based on the experiences of Agu, a child fighting in the civil war of an unnamed, fictional West African country. Follows Agu's journey as he's forced to join a group of soldiers. While he fears his commander and many of the men around him, his fledgling childhood has been brutally shattered by the war raging through his country, and he is at first torn between conflicting revulsion and fascination.",R,137,tt1365050,7.7,80129.0
s5893,Movie,Circle,"Aaron Hann, Mario Miscione",United States,10/16/2015,2015,TV-MA,86 min,"Dramas, Independent Movies, Sci-Fi & Fantasy",1281,tm206512,MOVIE,"In a massive, mysterious chamber, fifty strangers awaken to find themselves trapped with no memory of how they got there. Organized in an inward-facing circle and unable to move, they quickly learn that every two minutes, one of them must die... executed by a strange device in the center of the room.",,87,tt4473464,6.0,52925.0
s5894,Movie,Winter on Fire: Ukraine's Fight for Freedom,Evgeny Afineevsky,United Kingdom,10/9/2015,2015,TV-MA,99 min,"Documentaries, International Movies",1251,tm220594,MOVIE,"A documentary on the unrest in Ukraine during 2013 and 2014, as student demonstrations supporting European integration grew into a violent revolution calling for the resignation of President Viktor F. Yanukovich.",,98,tt4908644,8.3,17710.0
s5895,Movie,Anjelah Johnson: Not Fancy,Jay Karas,United States,10/2/2015,2015,TV-14,64 min,Stand-Up Comedy,1443,tm227922,MOVIE,"Actress and comedian Anjelah Johnson showcases her hilarious impressions to riff on European Gypsies, Vietnamese manicurists, Mexican moms, and more.",,63,tt4199110,5.7,686.0
s5897,Movie,Keith Richards: Under the Influence,Morgan Neville,United States,9/18/2015,2015,TV-14,82 min,"Documentaries, Music & Musicals",1496,tm225693,MOVIE,"A portrait of Keith Richards that takes us on a journey to discover the genesis of his sound as a songwriter, guitarist and performer.",PG,82,tt4900018,7.1,3357.0
s5898,Movie,Cowspiracy: The Sustainability Secret,"Kip Andersen, Keegan Kuhn",United States,9/15/2015,2014,TV-PG,90 min,Documentaries,956,tm151716,MOVIE,"Follow the shocking, yet humorous, journey of an aspiring environmentalist, as he daringly seeks to find the real solution to the most pressing environmental issues and true path to sustainability.",,90,tt4344904,8.199999999999998,24845.0
s5899,Movie,6 Years,Hannah Fidell,United States,9/8/2015,2015,TV-MA,80 min,"Dramas, Independent Movies, Romantic Movies",1468,tm195764,MOVIE,"A young couple bound by a seemingly ideal love, begins to unravel as unexpected opportunities spin them down a volatile and violent path and threaten the future they had always imagined.",,84,tt3984280,5.6,12441.0
s5902,Movie,Tig,"Kristina Goolsby, Ashley York",United States,7/17/2015,2015,TV-14,92 min,"Documentaries, Stand-Up Comedy",1382,tm214085,MOVIE,"An intimate documentary that follows Tig Notaro, a Los Angeles based comedian, who just days after being diagnosed with invasive stage II breast cancer changed the course of her career with a poignant stand-up set that became legendary overnight. It explores Tig's extraordinary journey as her career ignites and as her life unfolds in grand and unexpected ways, all the while continuing to battle a life-threatening illness and falling in love.",,95,tt3986532,7.4,2649.0
s5904,Movie,Creep,Patrick Brice,United States,7/14/2015,2014,R,78 min,"Horror Movies, Independent Movies, Thrillers",891,tm151807,MOVIE,"Looking for work, Aaron comes across a cryptic online ad: â€œ$1,000 for the day. Filming service. Discretion is appreciated.â€ Low on cash and full of naivetÃ©, he decides to go for it. He drives to a cabin in a remote mountain town where he meets Josef, his cinematic subject for the day. Josef is sincere and the project seems heartfelt, so Aaron begins to film. But as the day goes on, it becomes clear that Josef is not who he says, and his intentions are not at all pure.",R,77,tt2428170,6.3,52233.0
s5907,Movie,"What Happened, Miss Simone?",Liz Garbus,United States,6/26/2015,2015,TV-14,103 min,"Documentaries, Music & Musicals",1279,tm147082,MOVIE,"The film chronicles Nina Simone's journey from child piano prodigy to iconic musician and passionate activist, told in her own words.",,101,tt5108670,7.6,13703.0
s5908,Movie,Advantageous,Jennifer Phang,United States,6/23/2015,2015,TV-MA,92 min,"Dramas, Independent Movies, Sci-Fi & Fantasy",1268,tm136321,MOVIE,"In a near-future city where soaring opulence overshadows economic hardship, Gwen and her daughter, Jules, do all they can to hold on to their joy, despite the instability surfacing in their world.",,92,tt4209960,6.2,5378.0
s5910,Movie,The Perfect Dictatorship,Luis Estrada,Mexico,6/1/2015,2014,TV-MA,143 min,"Comedies, Dramas, International Movies",1046,tm149747,MOVIE,"TV MX, the most powerful Mexican Television Corporation, discloses a scandalous story involving Governor Carmelo Vargas in serious crimes and illicit business. Governor Vargas worried about his political future, decides to clean his image and negotiates a billionaire secret agreement with the owners of the TV Corporation. Carlos Rojo, an ambitious young news producer, and Ricardo Diaz, TV network star reporter, are responsible for making a dirty campaign to change the image the public has of the corrupt Governor and make him, at any cost, a political star and a great presidential candidate. Mexican Television believes that democracy is a farce and has already placed one President... Will they do it again?",,143,tt3970854,7.2,5370.0
s5911,Movie,Hot Girls Wanted,"Jill Bauer, Ronna Gradus",United States,5/29/2015,2015,TV-MA,83 min,Documentaries,1396,tm193125,MOVIE,A first-ever look at the realities of the professional â€œamateurâ€ porn world and the steady stream of 18-to-19-year old girls entering into it.,,84,tt4382552,6.1,17447.0
s5912,Movie,Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine),Lance Bangs,United States,5/22/2015,2015,TV-MA,78 min,Stand-Up Comedy,1575,tm211273,MOVIE,"Jen Kirkman's Netflix produced stand-up special as performed at the North Door in Austin, Texas.",,78,tt4705606,6.8,1506.0
s5914,Movie,Chris D'Elia: Incorrigible,Bill D'Elia,United States,4/17/2015,2015,TV-MA,84 min,Stand-Up Comedy,1691,tm207734,MOVIE,"Comedian and actor Chris Dâ€™Elia, known for his dynamic physical comedy, explains why the NFL would be way more entertaining if it were real lions, bears and Vikings battling each other, that babies are the worst prize ever, and that you should never ask a Cuban directions unless youâ€™re ready for the best time of your life.",R,83,tt4624852,6.4,1535.0
s5922,Movie,Bill Burr: I'm Sorry You Feel That Way,Jay Karas,United States,12/5/2014,2014,TV-MA,81 min,Stand-Up Comedy,964,tm149038,MOVIE,"Fresh, unflinching and devastatingly honest, Bill Burr lets loose in this feature length comedy special. Burr shares his essential tips for surviving the zombie apocalypse, exposes how rom-coms ruin great sex and explains how too many childhood hugs may be the ultimate downfall of man.",,80,tt3823690,8.3,7954.0
s5926,Movie,Virunga,Orlando von Einsiedel,United Kingdom,11/7/2014,2014,TV-MA,100 min,"Documentaries, International Movies",981,tm138431,MOVIE,"Virunga in the Democratic Republic of the Congo is Africaâ€™s oldest national park, a UNESCO world heritage site, and a contested ground among insurgencies seeking to topple the government that see untold profits in the land. Among this ongoing power struggle, Virunga also happens to be the last natural habitat for the critically endangered mountain gorilla. The only thing standing in the way of the forces closing in around the gorillas: a handful of passionate park rangers and journalists fighting to secure the parkâ€™s borders and expose the corruption of its enemies. Filled with shocking footage, and anchored by the surprisingly deep and gentle characters of the gorillas themselves, Virunga is a galvanizing call to action around an ongoing political and environmental crisis in the Congo.",,90,tt3455224,8.199999999999998,11403.0
s5927,Movie,E-Team,"Katy Chevigny, Ross Kauffman",United States,10/24/2014,2014,TV-MA,90 min,Documentaries,1127,tm147405,MOVIE,"E-Team is driven by the high-stakes investigative work of four intrepid human rights workers, offering a rare look at their lives at home and their dramatic work in the field.",,88,tt3458282,7.1,873.0
s5928,Movie,Wyatt Cenac: Brooklyn,Wyatt Cenac,United States,10/21/2014,2014,TV-MA,68 min,Stand-Up Comedy,1110,tm159701,MOVIE,Standup special recorded at Union Hall in Brooklyn.,,67,tt4286560,6.3,228.0
s5929,Movie,Chelsea Handler: Uganda Be Kidding Me Live,James Yukich,United States,10/10/2014,2014,TV-MA,71 min,Stand-Up Comedy,1109,tm155507,MOVIE,"A culmination of Chelsea Handler's stand-up comedy tour in support of her fourth New York Times #1 Bestseller, Uganda Be Kidding Me.",,71,tt4079776,5.8,1165.0
s5930,Movie,Print the Legend,"Luis Lopez, Clay Tweel",United States,9/26/2014,2014,TV-14,100 min,Documentaries,1051,tm158436,MOVIE,3D printing is changing the world â€“ from printing guns and human organs to dismantling the worldâ€™s industrial infrastructure by enabling home manufacturing. The 3D Printing revolution has begun. Who will make it?,,100,tt3703872,7.0,1967.0
s5931,Movie,Mission Blue,"Robert Nixon, Fisher Stevens",United States,8/15/2014,2014,TV-PG,94 min,Documentaries,1018,tm149578,MOVIE,"Feature documentary about legendary oceanographer, marine biologist, environmentalist and National Geographic Explorer-in-Residence Sylvia Earle, and her campaign to create a global network of protected marine sanctuaries",PG,94,tt2004304,7.9,1950.0
s5932,Movie,The Battered Bastards of Baseball,"Chapman Way, Maclain Way",United States,7/11/2014,2014,TV-MA,80 min,"Documentaries, Sports Movies",943,tm148976,MOVIE,Hollywood veteran Bing Russell creates the only independent baseball team in the countryâ€”alarming the baseball establishment and sparking the meteoric rise of the 1970s Portland Mavericks.,R,80,tt3445270,8.0,3953.0
s5935,Movie,Mitt,Greg Whiteley,United States,1/24/2014,2014,TV-PG,93 min,Documentaries,1026,tm153055,MOVIE,A filmmaker is granted unprecedented access to a political candidate and his family as he runs for President.,,93,tt3336722,6.9,2579.0
s5936,Movie,The Square,Jehane Noujaim,United Kingdom,1/17/2014,2013,TV-MA,105 min,"Documentaries, International Movies",972,tm187390,MOVIE,"The Square looks at the hard realities faced day-to-day by people working to build Egyptâ€™s new democracy. Cairoâ€™s Tahrir Square is the heart and soul of the film, which follows several young activists. Armed with values, determination, music, humor, an abundance of social media, and sheer obstinacy, they know that the thorny path to democracy only began with Hosni Mubarekâ€™s fall. The life-and-death struggle between the people and the power of the state is still playing out.",,88,tt2486682,8.1,8949.0
